loss,accuracy
31.047271728515625,31.399747848510742
30.69781494140625,32.25204849243164
30.786209106445312,31.175052642822266
30.511886596679688,31.229713439941406
30.66422462463379,30.2994384765625
29.888898849487305,31.286108016967773
29.649391174316406,30.677104949951172
29.589120864868164,30.230209350585938
29.437122344970703,30.129135131835938
30.528789520263672,30.046733856201172
29.310440063476562,30.63709831237793
29.76105308532715,29.922697067260742
29.336734771728516,30.407236099243164
29.175533294677734,29.896747589111328
29.16314697265625,29.96678352355957
29.116004943847656,30.005056381225586
29.052278518676758,29.879169464111328
29.02887535095215,29.822402954101562
28.94574546813965,30.000225067138672
29.241512298583984,29.818632125854492
29.04421615600586,29.883024215698242
29.240127563476562,29.898380279541016
28.921682357788086,29.833656311035156
28.922443389892578,29.809865951538086
28.88823127746582,29.824447631835938
28.8844051361084,29.822729110717773
28.885963439941406,29.853614807128906
28.837556838989258,29.824087142944336
28.85175323486328,29.84376335144043
28.873565673828125,29.789152145385742
28.809019088745117,29.79884147644043
28.8173885345459,29.801977157592773
28.841106414794922,29.834190368652344
28.794946670532227,29.799840927124023
28.778871536254883,29.782419204711914
28.766576766967773,29.7891902923584
28.759599685668945,29.783340454101562
28.764549255371094,29.776126861572266
28.738800048828125,29.77879524230957
28.824501037597656,29.803382873535156
28.778350830078125,29.809804916381836
28.76402473449707,29.799585342407227
28.775543212890625,29.813251495361328
28.784286499023438,29.816635131835938
28.816444396972656,29.842872619628906
28.79143714904785,29.821044921875
28.782114028930664,29.8114013671875
28.765827178955078,29.803268432617188
28.75711441040039,29.802059173583984
28.764921188354492,29.807401657104492
