loss,accuracy
30.66452407836914,32.06766891479492
30.863811492919922,30.07136344909668
29.034143447875977,30.23326301574707
28.784860610961914,29.5338077545166
29.585660934448242,31.304855346679688
28.5356388092041,29.88801383972168
29.21580696105957,30.238845825195312
30.304637908935547,29.499229431152344
28.488054275512695,30.285118103027344
28.622661590576172,29.433443069458008
28.044347763061523,29.459609985351562
28.58985710144043,29.560176849365234
28.15448760986328,29.323030471801758
28.022478103637695,29.407085418701172
28.024187088012695,29.342445373535156
27.751853942871094,29.394302368164062
28.012479782104492,29.282955169677734
27.95172119140625,29.279211044311523
28.323076248168945,29.323871612548828
27.80030059814453,29.259790420532227
27.813215255737305,29.29052734375
27.746538162231445,29.2454776763916
27.78727149963379,29.269710540771484
27.688344955444336,29.2597713470459
27.673734664916992,29.246990203857422
27.679994583129883,29.225811004638672
27.561992645263672,29.255334854125977
27.621841430664062,29.220455169677734
27.590139389038086,29.23090934753418
27.642578125,29.241811752319336
27.667572021484375,29.244112014770508
27.56129264831543,29.224159240722656
27.53460693359375,29.208837509155273
27.54610252380371,29.20472526550293
27.539886474609375,29.203195571899414
27.516220092773438,29.207626342773438
27.54400062561035,29.201330184936523
27.56605339050293,29.206340789794922
27.57142448425293,29.200321197509766
27.513511657714844,29.200725555419922
27.49942970275879,29.200044631958008
27.500091552734375,29.203954696655273
27.518932342529297,29.218242645263672
27.511547088623047,29.212814331054688
27.51634979248047,29.209884643554688
27.516559600830078,29.200326919555664
27.49576187133789,29.1939754486084
27.488508224487305,29.200241088867188
27.493087768554688,29.20069694519043
27.484907150268555,29.19691276550293
