loss,accuracy
28.743759155273438,34.06300354003906
30.60985565185547,29.0615177154541
29.04458999633789,30.068031311035156
27.4556827545166,30.193965911865234
27.761507034301758,29.153156280517578
27.869651794433594,29.979045867919922
27.753095626831055,28.9615478515625
27.3616886138916,30.767141342163086
27.518932342529297,28.994796752929688
27.654586791992188,29.821264266967773
28.13782501220703,29.022113800048828
27.024085998535156,30.066316604614258
27.433988571166992,29.20697021484375
27.1124210357666,28.87677001953125
27.044849395751953,28.887121200561523
27.032339096069336,29.004018783569336
26.876976013183594,28.883316040039062
26.83040428161621,28.863101959228516
26.93688201904297,28.82664680480957
26.91008758544922,28.836275100708008
26.824100494384766,28.83607292175293
26.697202682495117,28.8190975189209
26.75187873840332,28.80235481262207
26.727815628051758,28.801992416381836
26.703983306884766,28.811752319335938
26.691587448120117,28.78643798828125
26.620298385620117,28.790857315063477
26.643720626831055,28.786184310913086
26.663042068481445,28.781118392944336
26.611797332763672,28.7725830078125
26.692106246948242,28.79144287109375
26.594324111938477,28.771427154541016
26.600488662719727,28.775487899780273
26.620285034179688,28.776647567749023
26.626279830932617,28.779708862304688
26.56853675842285,28.764572143554688
26.555194854736328,28.76435661315918
26.616209030151367,28.7706356048584
26.58424186706543,28.772470474243164
26.553333282470703,28.765182495117188
26.545581817626953,28.76093864440918
26.554506301879883,28.762699127197266
26.540563583374023,28.761215209960938
26.53969383239746,28.761734008789062
26.54716682434082,28.758699417114258
26.5506534576416,28.761999130249023
26.545255661010742,28.766231536865234
26.532991409301758,28.762182235717773
26.53969955444336,28.765352249145508
26.53683853149414,28.765409469604492
