loss,accuracy
596.3213500976562,541.0872192382812
557.84716796875,490.1268615722656
484.6082763671875,418.4950256347656
395.35699462890625,335.835205078125
294.1174011230469,255.63409423828125
205.85655212402344,195.3240203857422
141.3554229736328,165.9060516357422
117.86209869384766,153.7272491455078
105.1248779296875,138.5264892578125
92.83623504638672,129.65451049804688
82.5526123046875,114.08462524414062
72.4250717163086,101.28006744384766
62.223697662353516,87.97640991210938
53.51475143432617,79.3093490600586
47.91997528076172,66.57498168945312
38.14459228515625,55.260799407958984
32.1513786315918,46.28689193725586
27.380762100219727,40.099693298339844
24.512020111083984,36.89609909057617
20.828134536743164,35.264190673828125
20.3094482421875,30.531620025634766
18.851694107055664,29.83900260925293
18.4691219329834,30.419099807739258
18.256580352783203,29.234975814819336
18.72150230407715,30.348731994628906
18.730201721191406,29.173721313476562
18.766237258911133,29.428556442260742
18.229389190673828,28.942148208618164
18.434425354003906,28.94293785095215
19.307979583740234,29.756559371948242
18.352819442749023,29.018417358398438
18.472286224365234,29.22334098815918
18.34965705871582,29.636516571044922
18.19102668762207,29.089332580566406
18.30197525024414,29.381315231323242
18.184396743774414,29.50684928894043
18.424457550048828,28.894203186035156
18.19218635559082,29.228845596313477
18.114564895629883,28.984535217285156
18.37502098083496,29.3606014251709
17.897113800048828,29.886144638061523
18.53557014465332,30.225679397583008
17.994606018066406,28.918607711791992
18.494001388549805,28.785343170166016
18.067657470703125,28.976293563842773
18.657943725585938,29.034194946289062
18.57718276977539,28.877567291259766
17.972923278808594,30.662757873535156
18.937381744384766,28.689254760742188
17.917152404785156,29.306087493896484
17.816797256469727,29.307762145996094
18.07096290588379,29.609169006347656
18.229385375976562,29.316679000854492
18.583274841308594,29.152074813842773
18.397459030151367,28.417383193969727
18.284759521484375,29.50929069519043
18.21784019470215,29.296329498291016
17.925310134887695,29.829872131347656
17.957378387451172,29.149099349975586
18.553091049194336,29.7519474029541
17.759035110473633,28.5095157623291
17.93450355529785,28.325191497802734
17.975383758544922,31.117013931274414
18.07919692993164,28.554447174072266
17.989107131958008,29.866357803344727
18.815656661987305,29.010196685791016
18.00885581970215,29.19489097595215
18.200578689575195,29.4074764251709
18.179908752441406,28.908401489257812
17.484115600585938,31.675016403198242
18.79351806640625,28.77178955078125
18.1180477142334,29.202438354492188
17.9254093170166,28.545019149780273
18.036128997802734,28.656455993652344
17.873682022094727,28.583707809448242
18.110082626342773,28.891916275024414
18.71428871154785,28.29326057434082
18.52159881591797,31.694740295410156
18.26645851135254,28.567035675048828
17.988441467285156,28.39360237121582
17.64990997314453,28.511905670166016
18.379968643188477,28.610366821289062
17.795339584350586,28.758081436157227
17.870019912719727,28.113656997680664
18.07837677001953,31.751766204833984
18.338584899902344,28.225923538208008
17.881309509277344,28.613121032714844
18.226909637451172,29.074621200561523
18.383203506469727,29.799406051635742
17.656993865966797,28.598806381225586
17.69076919555664,28.816814422607422
17.603017807006836,28.8089542388916
17.64548110961914,28.45911979675293
18.106672286987305,28.656795501708984
17.91026496887207,29.177528381347656
17.84617805480957,28.471847534179688
18.2432918548584,28.361854553222656
17.89682960510254,29.203269958496094
18.621429443359375,28.397512435913086
17.57933807373047,29.129541397094727
